data,predict,target
kaj,PLAIN,LETTERS
blouinarti,PLAIN,ELECTRONIC
2009,DATE,DIGIT
MUC,PLAIN,LETTERS
ulmi,PLAIN,LETTERS
Muic,PLAIN,LETTERS
Ol,PLAIN,LETTERS
Klou,PLAIN,LETTERS
Myx,PLAIN,LETTERS
adj,LETTERS,PLAIN
cx,LETTERS,VERBATIM
ROSSEM,PLAIN,LETTERS
Ith,PLAIN,LETTERS
dm,PLAIN,LETTERS
1981,DATE,CARDINAL
j,PLAIN,LETTERS
SolutionsN,PLAIN,ELECTRONIC
Lemn,PLAIN,LETTERS
GENERALBYE,PLAIN,LETTERS
2012,CARDINAL,DATE
mld,VERBATIM,LETTERS
r,PLAIN,LETTERS
1924,DIGIT,DATE
Lidl,PLAIN,LETTERS
Lun,PLAIN,LETTERS
MASN,PLAIN,LETTERS
10,CARDINAL,DECIMAL
XAT,PLAIN,LETTERS
Wau,PLAIN,LETTERS
Udde,PLAIN,LETTERS
SOE,PLAIN,LETTERS
258,DIGIT,CARDINAL
TSE,LETTERS,PLAIN
INFOCOMMUN,PLAIN,LETTERS
1950,DATE,CARDINAL
ASIC,LETTERS,PLAIN
0,CARDINAL,DIGIT
II,CARDINAL,ORDINAL
100,CARDINAL,DIGIT
Imru,PLAIN,LETTERS
Rnb,PLAIN,VERBATIM
ThSK,LETTERS,VERBATIM
PCS,LETTERS,PLAIN
BaseballTh,PLAIN,ELECTRONIC
Inf,PLAIN,LETTERS
2000,DATE,CARDINAL
NIS,PLAIN,LETTERS
Sata,PLAIN,LETTERS
ADMIRED,LETTERS,PLAIN
1996,DIGIT,DATE
TWICE,LETTERS,PLAIN
2000,DATE,DIGIT
ACE'd,PLAIN,LETTERS
INFORMATIV,PLAIN,LETTERS
Streamroot,PLAIN,ELECTRONIC
11.00 AM,DATE,TIME
a,LETTERS,PLAIN
n,PLAIN,LETTERS
Yaotl,PLAIN,LETTERS
3515,CARDINAL,DIGIT
n,LETTERS,PLAIN
2000,DATE,CARDINAL
VeganKitch,PLAIN,ELECTRONIC
esp,LETTERS,PLAIN
INTERVICT,PLAIN,LETTERS
AB,PLAIN,LETTERS
BEPS,PLAIN,LETTERS
NU,PLAIN,LETTERS
Biao's,PLAIN,LETTERS
ODEBO,PLAIN,LETTERS
NoSQL,PLAIN,LETTERS
SATA,PLAIN,LETTERS
ene.field,PLAIN,ELECTRONIC
BIG,LETTERS,PLAIN
Réseau,PLAIN,LETTERS
eVUTM,PLAIN,LETTERS
BeO,PLAIN,LETTERS
TEKAN,PLAIN,LETTERS
Kom,PLAIN,LETTERS
21104,DIGIT,CARDINAL
Radd,PLAIN,LETTERS
tb,PLAIN,LETTERS
AlecEmpire,PLAIN,ELECTRONIC
Movement'B,DATE,PLAIN
w,LETTERS,PLAIN
DOCH,PLAIN,LETTERS
EEG,LETTERS,PLAIN
N,LETTERS,PLAIN
Ve,PLAIN,LETTERS
PICUS,LETTERS,PLAIN
WRAP,LETTERS,PLAIN
ARSO,PLAIN,LETTERS
JEA,PLAIN,LETTERS
neé,PLAIN,LETTERS
Isen,PLAIN,LETTERS
Lah,PLAIN,LETTERS
XV,LETTERS,CARDINAL
5,DIGIT,CARDINAL
Nas',PLAIN,LETTERS
Ccd,PLAIN,VERBATIM
STUFF,LETTERS,PLAIN
peu,PLAIN,LETTERS
-,PLAIN,VERBATIM
Lih,PLAIN,LETTERS
0311062802,TELEPHONE,DIGIT
L,LETTERS,PLAIN
km,PLAIN,VERBATIM
1964,DATE,CARDINAL
Tok,PLAIN,LETTERS
NU's,LETTERS,PLAIN
"14,662.9",CARDINAL,DECIMAL
MOS,PLAIN,LETTERS
Uta,PLAIN,LETTERS
Xop,PLAIN,LETTERS
AHIGS,PLAIN,LETTERS
Kuol,PLAIN,LETTERS
FROM,LETTERS,PLAIN
MULUNG,PLAIN,LETTERS
als,PLAIN,LETTERS
ACU,PLAIN,LETTERS
Yok,PLAIN,LETTERS
jn,PLAIN,LETTERS
APSE,LETTERS,PLAIN
Dirs,PLAIN,LETTERS
Kuhnl,PLAIN,LETTERS
ENS,PLAIN,LETTERS
Depechemod,PLAIN,ELECTRONIC
hwan,PLAIN,LETTERS
EDEN,LETTERS,PLAIN
SOB,LETTERS,PLAIN
A,LETTERS,PLAIN
z,LETTERS,PLAIN
ik,LETTERS,PLAIN
NG,LETTERS,PLAIN
ol,PLAIN,LETTERS
SILENCIOSO,PLAIN,LETTERS
2007,DATE,CARDINAL
Aci,PLAIN,LETTERS
Liiga,PLAIN,LETTERS
ieri,PLAIN,LETTERS
-,PLAIN,VERBATIM
KAMUAR,PLAIN,LETTERS
igra,LETTERS,PLAIN
Rin,PLAIN,LETTERS
2015,DATE,DIGIT
hoofd,PLAIN,LETTERS
x,PLAIN,LETTERS
aici,PLAIN,LETTERS
IX,PLAIN,ORDINAL
HE,LETTERS,PLAIN
2006,DATE,CARDINAL
c,LETTERS,PLAIN
23ML,CARDINAL,MEASURE
9801,CARDINAL,DIGIT
MUNTING,PLAIN,LETTERS
QUANJIAN,PLAIN,LETTERS
2011,DATE,DIGIT
Enes,PLAIN,LETTERS
g,PLAIN,LETTERS
Riml,PLAIN,LETTERS
4,DIGIT,CARDINAL
1918,DATE,CARDINAL
00-1,DIGIT,TELEPHONE
FEALAC,PLAIN,LETTERS
v,PLAIN,LETTERS
geki,PLAIN,LETTERS
209Th,MEASURE,ORDINAL
hvad,PLAIN,LETTERS
2010,DATE,DIGIT
SIPs,LETTERS,PLAIN
2008,CARDINAL,DATE
Kfirs,PLAIN,LETTERS
X,PLAIN,ORDINAL
1969,DATE,CARDINAL
REBRs,PLAIN,LETTERS
CLub,LETTERS,PLAIN
MU,PLAIN,LETTERS
Toledoblad,PLAIN,ELECTRONIC
AVRO,LETTERS,PLAIN
DAB,PLAIN,LETTERS
1996,DATE,CARDINAL
Diacu,PLAIN,LETTERS
xxb,LETTERS,VERBATIM
RAPD,PLAIN,LETTERS
STIS,PLAIN,LETTERS
PIPS,LETTERS,PLAIN
GOL,PLAIN,LETTERS
WOLKOWYSKA,PLAIN,LETTERS
Smer,PLAIN,LETTERS
soi,PLAIN,LETTERS
Opponentss,PLAIN,ELECTRONIC
BuffettRem,PLAIN,ELECTRONIC
1913,DIGIT,DATE
Sabr,PLAIN,LETTERS
8,CARDINAL,DECIMAL
Mih,PLAIN,LETTERS
2014.1.15,DECIMAL,DATE
Hjalm,PLAIN,LETTERS
UQ,PLAIN,LETTERS
p,PLAIN,LETTERS
Zus,PLAIN,LETTERS
MEU,PLAIN,LETTERS
sm,LETTERS,PLAIN
KLUB,LETTERS,PLAIN
Rmxs,PLAIN,VERBATIM
1300,DIGIT,DATE
ASQ,PLAIN,LETTERS
OJ,PLAIN,LETTERS
SonicImmer,PLAIN,ELECTRONIC
kak,PLAIN,LETTERS
yne,PLAIN,LETTERS
plts,PLAIN,VERBATIM
Fai,PLAIN,LETTERS
l,LETTERS,PLAIN
Asindhttp,PLAIN,LETTERS
12345,DIGIT,CARDINAL
Amli,PLAIN,LETTERS
I,PLAIN,ORDINAL
Raq,PLAIN,LETTERS
00750,TELEPHONE,DIGIT
ODESSA,LETTERS,PLAIN
FDIC,LETTERS,PLAIN
ERJ,PLAIN,LETTERS
Oper,PLAIN,LETTERS
Isia,PLAIN,LETTERS
I,PLAIN,ORDINAL
800 millio,DECIMAL,MEASURE
Os,PLAIN,LETTERS
Secu,PLAIN,LETTERS
Ahe's,PLAIN,LETTERS
1444,DATE,DIGIT
ASKO,LETTERS,PLAIN
x,PLAIN,LETTERS
DOMREP,PLAIN,LETTERS
Norrisspor,PLAIN,ELECTRONIC
1910,CARDINAL,DATE
v,PLAIN,LETTERS
2006,CARDINAL,DATE
TheJournal,PLAIN,ELECTRONIC
p,LETTERS,PLAIN
Rao's,PLAIN,LETTERS
NAIDOC,PLAIN,LETTERS
1,DIGIT,CARDINAL
LABAs,LETTERS,PLAIN
2290,CARDINAL,DIGIT
Iste,PLAIN,LETTERS
1991,DATE,CARDINAL
ENGLISH,LETTERS,PLAIN
p,LETTERS,PLAIN
quicc,PLAIN,LETTERS
101 ,CARDINAL,DIGIT
Cadw,PLAIN,LETTERS
1,CARDINAL,DIGIT
NICAD,LETTERS,PLAIN
mga,PLAIN,LETTERS
1999,CARDINAL,DATE
Oudh,PLAIN,LETTERS
10,CARDINAL,DIGIT
6,DIGIT,CARDINAL
Greenarche,PLAIN,ELECTRONIC
ievs,PLAIN,LETTERS
TOKYOPOP,LETTERS,PLAIN
Mswt,LETTERS,VERBATIM
ReifenDire,PLAIN,ELECTRONIC
TEU,PLAIN,LETTERS
EOL,PLAIN,LETTERS
Svi,PLAIN,LETTERS
2013,CARDINAL,DATE
Lae,PLAIN,LETTERS
Coe's,PLAIN,LETTERS
LIP,PLAIN,LETTERS
ESSJa,LETTERS,PLAIN
Dubh,PLAIN,LETTERS
APR,LETTERS,PLAIN
UNAVEM,PLAIN,LETTERS
1996,DATE,CARDINAL
RESULTIN,PLAIN,LETTERS
UCAM,LETTERS,PLAIN
Kayu,PLAIN,LETTERS
GREAT,LETTERS,PLAIN
Oyj,PLAIN,LETTERS
DJERZELEZ,PLAIN,LETTERS
HASDER,PLAIN,LETTERS
Fu'ad,PLAIN,LETTERS
GER,PLAIN,LETTERS
p,PLAIN,LETTERS
SEMTA,PLAIN,LETTERS
L,LETTERS,PLAIN
w,LETTERS,PLAIN
1990,DATE,CARDINAL
P,LETTERS,PLAIN
2011,CARDINAL,DATE
1999,DATE,CARDINAL
1,CARDINAL,DIGIT
530,CARDINAL,DIGIT
1941,DATE,CARDINAL
Thos,PLAIN,LETTERS
I,PLAIN,CARDINAL
Uniao,PLAIN,LETTERS
123,CARDINAL,DECIMAL
reu,PLAIN,LETTERS
Asao,PLAIN,LETTERS
ZE,LETTERS,PLAIN
WeltN,PLAIN,LETTERS
KIYOKAWA,PLAIN,LETTERS
Aj,PLAIN,LETTERS
9-4-1978,TELEPHONE,DATE
Fyn,PLAIN,LETTERS
-,PUNCT,PLAIN
1947,DATE,CARDINAL
2012,DATE,DIGIT
52037.692,CARDINAL,DECIMAL
SHOW,LETTERS,PLAIN
apos,PLAIN,LETTERS
Smad,PLAIN,LETTERS
Pe'er,LETTERS,PLAIN
1975,CARDINAL,DATE
SYROBONKER,PLAIN,LETTERS
Ovre,PLAIN,LETTERS
als,PLAIN,LETTERS
14 million,MONEY,DECIMAL
lbw,PLAIN,VERBATIM
Toh,PLAIN,LETTERS
um,LETTERS,PLAIN
Y'tll,PLAIN,LETTERS
TAFEs,PLAIN,LETTERS
2011,CARDINAL,DATE
2012,DATE,CARDINAL
ROF,PLAIN,LETTERS
Huo,PLAIN,LETTERS
Ist,PLAIN,ORDINAL
réseau,PLAIN,LETTERS
dc,LETTERS,VERBATIM
Heos,PLAIN,LETTERS
Koe,PLAIN,LETTERS
ANCE,LETTERS,PLAIN
v,PLAIN,LETTERS
ROMP,LETTERS,PLAIN
STRAIGHT,LETTERS,PLAIN
viii,PLAIN,LETTERS
Wol,PLAIN,LETTERS
OL,PLAIN,LETTERS
MTN,LETTERS,PLAIN
g,PLAIN,LETTERS
GEOM,PLAIN,LETTERS
Narcz,PLAIN,LETTERS
100 tons/h,ELECTRONIC,MEASURE
Lemn,PLAIN,LETTERS
Ilm,PLAIN,LETTERS
lnot,PLAIN,LETTERS
84,CARDINAL,DIGIT
V,PLAIN,ORDINAL
Cwiok,PLAIN,LETTERS
Uku,LETTERS,PLAIN
SAEs,PLAIN,LETTERS
FREBAULT,PLAIN,LETTERS
N,LETTERS,PLAIN
tr,PLAIN,LETTERS
42,CARDINAL,DIGIT
WOLZ,LETTERS,PLAIN
LULAC,LETTERS,PLAIN
5,DIGIT,CARDINAL
EST,LETTERS,PLAIN
v,LETTERS,PLAIN
ITA,LETTERS,PLAIN
ST,PLAIN,LETTERS
Igu,PLAIN,LETTERS
3,CARDINAL,DIGIT
8,CARDINAL,DIGIT
Liias,PLAIN,LETTERS
OHR,LETTERS,PLAIN
Eotvos,PLAIN,LETTERS
2008,DATE,CARDINAL
Ktav,PLAIN,LETTERS
60 yen,MEASURE,MONEY
Sno,PLAIN,LETTERS
CEQA,PLAIN,LETTERS
Kiur,PLAIN,LETTERS
teh,PLAIN,LETTERS
GEBCO,LETTERS,PLAIN
SOL,LETTERS,PLAIN
2006,CARDINAL,DATE
1918,CARDINAL,DATE
64,CARDINAL,DIGIT
Bew,PLAIN,LETTERS
I,CARDINAL,PLAIN
RM,LETTERS,PLAIN
guinnesswo,PLAIN,ELECTRONIC
2003,DATE,CARDINAL
2009,CARDINAL,DATE
DILG,LETTERS,PLAIN
als,PLAIN,LETTERS
OsZIP,LETTERS,PLAIN
TIR,PLAIN,LETTERS
sucD,PLAIN,LETTERS
-,PLAIN,VERBATIM
1861,DATE,CARDINAL
A,LETTERS,PLAIN
2015,CARDINAL,DATE
2009,DATE,CARDINAL
Tadg,PLAIN,LETTERS
SMACS,PLAIN,LETTERS
KEIS,LETTERS,PLAIN
p,PLAIN,LETTERS
OHL,LETTERS,PLAIN
APPIC,LETTERS,PLAIN
CaII,LETTERS,PLAIN
219 ,CARDINAL,DIGIT
deg,PLAIN,LETTERS
1975,DIGIT,CARDINAL
OOPSLA,PLAIN,LETTERS
T,LETTERS,PLAIN
Independen,PLAIN,ELECTRONIC
NUMSA,PLAIN,LETTERS
uba,PLAIN,LETTERS
FAB,LETTERS,PLAIN
vlg,PLAIN,VERBATIM
1987,DATE,CARDINAL
THOG,PLAIN,LETTERS
4MN,TIME,MEASURE
CEQUIN,PLAIN,LETTERS
a,LETTERS,PLAIN
bcg,PLAIN,LETTERS
dy,PLAIN,LETTERS
MOELCI,PLAIN,LETTERS
1942,CARDINAL,DATE
Ssu,PLAIN,LETTERS
2001,CARDINAL,DATE
wrc,LETTERS,VERBATIM
viaq,PLAIN,LETTERS
Nur,PLAIN,LETTERS
Rgt,PLAIN,VERBATIM
29,DIGIT,CARDINAL
eins,PLAIN,LETTERS
05,CARDINAL,DIGIT
SOFTEC,LETTERS,PLAIN
2013,CARDINAL,DATE
ISKCON,LETTERS,PLAIN
SEOUL,PLAIN,LETTERS
maa,PLAIN,LETTERS
2,CARDINAL,DIGIT
H,LETTERS,PLAIN
Qu,PLAIN,LETTERS
2,CARDINAL,DIGIT
IV,LETTERS,CARDINAL
2012,DATE,CARDINAL
ISSI,LETTERS,PLAIN
2000,DATE,CARDINAL
a,PLAIN,LETTERS
Née,LETTERS,PLAIN
CRISP,LETTERS,PLAIN
Dvl,PLAIN,VERBATIM
Kabr,PLAIN,LETTERS
Nabao,PLAIN,LETTERS
PRO,LETTERS,PLAIN
EMBRAPA,PLAIN,LETTERS
phospholip,LETTERS,PLAIN
Eins,PLAIN,LETTERS
Reestr,PLAIN,LETTERS
AM,LETTERS,PLAIN
KAKT,PLAIN,LETTERS
241,CARDINAL,DIGIT
2013,DATE,CARDINAL
RACAR,PLAIN,LETTERS
Aayat,PLAIN,LETTERS
M,LETTERS,PLAIN
UKIRA,PLAIN,LETTERS
K,LETTERS,PLAIN
Michx,PLAIN,LETTERS
OPALS,LETTERS,PLAIN
JASS,PLAIN,LETTERS
xo,PLAIN,LETTERS
SAMPEX,PLAIN,LETTERS
fase,PLAIN,LETTERS
MemSQL,PLAIN,LETTERS
2007,CARDINAL,DATE
429,CARDINAL,DECIMAL
ASAE,PLAIN,LETTERS
EKOS,LETTERS,PLAIN
2015,CARDINAL,DATE
1919,CARDINAL,DATE
1000,DATE,DIGIT
RAFGSA,PLAIN,LETTERS
E,LETTERS,PLAIN
VI,PLAIN,CARDINAL
22260701,DIGIT,CARDINAL
LAMDA,LETTERS,PLAIN
2011,DATE,DIGIT
mcen,PLAIN,LETTERS
2011,DATE,CARDINAL
c,LETTERS,PLAIN
-1.01,TIME,DECIMAL
59,CARDINAL,DIGIT
1055,DATE,CARDINAL
MUBi,LETTERS,PLAIN
wOBA,LETTERS,PLAIN
databasefo,PLAIN,ELECTRONIC
2010,DATE,DIGIT
INCA,LETTERS,PLAIN
Igga,LETTERS,PLAIN
AphA,LETTERS,PLAIN
2412,DIGIT,CARDINAL
Beszéd,PLAIN,LETTERS
Dvor,PLAIN,LETTERS
Nha,PLAIN,LETTERS
GROND,PLAIN,LETTERS
class-base,PLAIN,ELECTRONIC
L,LETTERS,PLAIN
Dodt,PLAIN,LETTERS
X,PLAIN,CARDINAL
EFIKA,LETTERS,PLAIN
Sek,PLAIN,LETTERS
NaSTA,LETTERS,PLAIN
II,CARDINAL,PLAIN
Umur,LETTERS,PLAIN
Frhr,PLAIN,VERBATIM
hHR,LETTERS,VERBATIM
2008,CARDINAL,DATE
Geok,PLAIN,LETTERS
l'un,LETTERS,PLAIN
DE,PLAIN,LETTERS
Li-,PLAIN,LETTERS
Oti,PLAIN,LETTERS
Paea,PLAIN,LETTERS
1965,DATE,DIGIT
3,CARDINAL,DECIMAL
ONCT,PLAIN,LETTERS
gOS,LETTERS,PLAIN
10,CARDINAL,DIGIT
YR,LETTERS,PLAIN
1 Trillion,DATE,MONEY
Ol,PLAIN,LETTERS
2,DIGIT,CARDINAL
af,PLAIN,LETTERS
1000,DIGIT,CARDINAL
Etak,PLAIN,LETTERS
joo's,PLAIN,LETTERS
1976,DATE,CARDINAL
pdf,VERBATIM,LETTERS
Osoe,PLAIN,LETTERS
TODO,PLAIN,LETTERS
1967,DATE,CARDINAL
UVA,LETTERS,PLAIN
RER,PLAIN,LETTERS
1936,DATE,CARDINAL
Nadzr,PLAIN,LETTERS
succ.veCat,PLAIN,ELECTRONIC
BITEI,PLAIN,LETTERS
IBN,LETTERS,PLAIN
1901,DATE,CARDINAL
ntv,LETTERS,VERBATIM
II,CARDINAL,PLAIN
1923,DATE,CARDINAL
COSIDER,PLAIN,LETTERS
ce,PLAIN,LETTERS
