data,predict,target
60 DOLLARS,DATE,MONEY
VII,ORDINAL,CARDINAL
1999,DATE,DIGIT
1,CARDINAL,DIGIT
6,CARDINAL,DIGIT
1944,DATE,DIGIT
V,CARDINAL,ORDINAL
1904,DATE,CARDINAL
737,CARDINAL,DIGIT
XCVI,LETTERS,CARDINAL
III,CARDINAL,ORDINAL
3,CARDINAL,DIGIT
2002,DATE,CARDINAL
2015,CARDINAL,DATE
3,CARDINAL,DIGIT
2018,CARDINAL,DATE
jhs,LETTERS,VERBATIM
3,CARDINAL,DECIMAL
2009,DATE,CARDINAL
IV,CARDINAL,ORDINAL
2010,DATE,CARDINAL
III,CARDINAL,ORDINAL
15816,CARDINAL,DIGIT
80,CARDINAL,DIGIT
42,CARDINAL,DIGIT
ts,VERBATIM,LETTERS
14,CARDINAL,DIGIT
2013,DATE,CARDINAL
II,CARDINAL,ORDINAL
2,CARDINAL,DIGIT
I,CARDINAL,ORDINAL
03,CARDINAL,DIGIT
1997,CARDINAL,DATE
robinoside,ELECTRONIC,LETTERS
td,LETTERS,VERBATIM
2003,DATE,CARDINAL
2002,DATE,CARDINAL
3203,DIGIT,CARDINAL
ftp,VERBATIM,LETTERS
I,ORDINAL,CARDINAL
2009,CARDINAL,DATE
65,CARDINAL,DIGIT
479,CARDINAL,DECIMAL
2006,DIGIT,DATE
8,CARDINAL,DIGIT
16,CARDINAL,DIGIT
1.4 billio,DECIMAL,MONEY
1992,DATE,CARDINAL
1,CARDINAL,DIGIT
2008,DATE,CARDINAL
09202,TELEPHONE,DIGIT
2008,DATE,CARDINAL
DR,PLAIN,LETTERS
911,CARDINAL,TELEPHONE
8,CARDINAL,DIGIT
3,CARDINAL,DECIMAL
2,CARDINAL,DIGIT
2012,DATE,DIGIT
2008,CARDINAL,DATE
2004,DATE,CARDINAL
278,CARDINAL,DECIMAL
1996,CARDINAL,DATE
2001,DATE,DIGIT
2013,DATE,CARDINAL
8,CARDINAL,DIGIT
2014,CARDINAL,DATE
1938,DATE,CARDINAL
370,CARDINAL,DIGIT
2007,DATE,CARDINAL
I.,LETTERS,CARDINAL
2,CARDINAL,DIGIT
1925,DATE,CARDINAL
IV,ORDINAL,LETTERS
538,CARDINAL,DIGIT
2,CARDINAL,DIGIT
15,CARDINAL,DIGIT
1975,DATE,CARDINAL
1997,DATE,DIGIT
1,CARDINAL,DIGIT
2013,DATE,CARDINAL
1528,DATE,DIGIT
22,CARDINAL,DIGIT
1989,DATE,CARDINAL
COL,LETTERS,PLAIN
II,CARDINAL,ORDINAL
2007,DATE,CARDINAL
IV,LETTERS,CARDINAL
2009,CARDINAL,DATE
XVII,CARDINAL,ORDINAL
Thu,LETTERS,PLAIN
IV,LETTERS,CARDINAL
I.,CARDINAL,LETTERS
102,CARDINAL,DIGIT
1,CARDINAL,DIGIT
2011,DATE,DIGIT
II,ORDINAL,CARDINAL
III,CARDINAL,ORDINAL
2005,DATE,CARDINAL
2000,DATE,CARDINAL
42,CARDINAL,DIGIT
2011,DATE,CARDINAL
xl,LETTERS,VERBATIM
I.,LETTERS,CARDINAL
IV,CARDINAL,LETTERS
Derecognis,ELECTRONIC,PLAIN
JUN 1882,MONEY,DATE
rv,VERBATIM,LETTERS
I,ORDINAL,CARDINAL
XV,CARDINAL,ORDINAL
II,CARDINAL,ORDINAL
XXII,ORDINAL,CARDINAL
2007,DATE,CARDINAL
2004,DATE,DIGIT
1996,CARDINAL,DATE
2009,DATE,CARDINAL
5,CARDINAL,DECIMAL
1,CARDINAL,DIGIT
2013,DATE,CARDINAL
2009,DATE,CARDINAL
23,CARDINAL,DIGIT
12,CARDINAL,DIGIT
1,CARDINAL,DIGIT
2010,CARDINAL,DATE
1992,DATE,DIGIT
360,DIGIT,CARDINAL
1972,DATE,CARDINAL
V.,LETTERS,ORDINAL
9,CARDINAL,DIGIT
1910,DATE,DIGIT
CCl,VERBATIM,PLAIN
4BD,DATE,VERBATIM
2,CARDINAL,DIGIT
1902,DATE,CARDINAL
X,ORDINAL,CARDINAL
1927,DATE,DIGIT
9.9 billio,DECIMAL,MONEY
V.,LETTERS,ORDINAL
31,CARDINAL,DIGIT
II,CARDINAL,ORDINAL
9,CARDINAL,DIGIT
vpr,LETTERS,VERBATIM
1999,DATE,CARDINAL
1998,DATE,CARDINAL
2002,CARDINAL,DATE
1980,CARDINAL,DATE
2,CARDINAL,DIGIT
xpp,VERBATIM,LETTERS
1,CARDINAL,DIGIT
1972,DATE,CARDINAL
II,CARDINAL,ORDINAL
III,CARDINAL,ORDINAL
1992,DATE,DIGIT
2014,DATE,CARDINAL
I.,LETTERS,CARDINAL
140,CARDINAL,DECIMAL
2,CARDINAL,DIGIT
"1969,922",TELEPHONE,CARDINAL
80673,CARDINAL,DIGIT
2010,DATE,DIGIT
93,CARDINAL,DECIMAL
2006,DATE,DIGIT
V,CARDINAL,ORDINAL
2131890,CARDINAL,DIGIT
1600,DATE,DIGIT
69,CARDINAL,DIGIT
PL,LETTERS,PLAIN
1,CARDINAL,DIGIT
I,CARDINAL,ORDINAL
1988,DATE,DIGIT
1,CARDINAL,DIGIT
xn,LETTERS,VERBATIM
III,CARDINAL,ORDINAL
1992,DATE,CARDINAL
2012,DATE,CARDINAL
2005,DATE,DIGIT
6,CARDINAL,DIGIT
2009,CARDINAL,DATE
256,CARDINAL,DIGIT
2013,DATE,CARDINAL
1928,DATE,CARDINAL
93,CARDINAL,DECIMAL
2007,DATE,CARDINAL
INTL,LETTERS,PLAIN
2022,DATE,CARDINAL
2014,CARDINAL,DATE
III,ORDINAL,CARDINAL
8051,CARDINAL,DIGIT
1980,DATE,CARDINAL
8,CARDINAL,DIGIT
pdf,VERBATIM,LETTERS
tr,LETTERS,VERBATIM
1952,CARDINAL,DATE
0,CARDINAL,DIGIT
IV,ORDINAL,CARDINAL
2009,DATE,CARDINAL
1992,DATE,CARDINAL
4,CARDINAL,DIGIT
1955,DATE,CARDINAL
2001,DATE,DIGIT
2008,DATE,CARDINAL
5,CARDINAL,DIGIT
2014,DATE,CARDINAL
II,ORDINAL,CARDINAL
1999,DATE,CARDINAL
1994,DATE,CARDINAL
8,CARDINAL,DIGIT
2005,DATE,CARDINAL
htmlM,LETTERS,VERBATIM
80,CARDINAL,DIGIT
II,CARDINAL,ORDINAL
2007,DATE,CARDINAL
II,ORDINAL,CARDINAL
I.,LETTERS,ORDINAL
1963,DATE,DIGIT
2009,CARDINAL,DATE
III,CARDINAL,ORDINAL
2007,DATE,DIGIT
SARSFIELD',DATE,LETTERS
2012,DATE,CARDINAL
2014,CARDINAL,DATE
2008,DATE,DIGIT
4,CARDINAL,DIGIT
IV,CARDINAL,ORDINAL
I,CARDINAL,ORDINAL
290,CARDINAL,DIGIT
2003,DATE,CARDINAL
III,CARDINAL,ORDINAL
45,CARDINAL,DECIMAL
1998,DATE,CARDINAL
2006,DATE,CARDINAL
mr,PLAIN,LETTERS
8,CARDINAL,DIGIT
1000,DATE,CARDINAL
md,VERBATIM,LETTERS
349,CARDINAL,DIGIT
3,CARDINAL,DIGIT
md,LETTERS,VERBATIM
2010,CARDINAL,DATE
3,CARDINAL,DIGIT
2009,CARDINAL,DATE
2006,DATE,CARDINAL
1977,DATE,CARDINAL
2006,DATE,CARDINAL
2014,CARDINAL,DATE
1970,CARDINAL,DATE
II,CARDINAL,ORDINAL
91,CARDINAL,DIGIT
2007,CARDINAL,DATE
2010,DATE,DIGIT
2014,DATE,CARDINAL
2012,DATE,DIGIT
I,ORDINAL,CARDINAL
I,ORDINAL,CARDINAL
100,CARDINAL,DIGIT
2008,DATE,DIGIT
"25,000,000",CARDINAL,MONEY
VII,ORDINAL,CARDINAL
2014,CARDINAL,DATE
1920,DATE,CARDINAL
880,CARDINAL,DIGIT
2000,DATE,CARDINAL
2007,DATE,CARDINAL
IV,ORDINAL,CARDINAL
2008,DATE,CARDINAL
1909,DATE,CARDINAL
1548,DATE,DIGIT
2009,CARDINAL,DATE
I,CARDINAL,ORDINAL
2011,DATE,CARDINAL
2009,DATE,CARDINAL
2004,DATE,CARDINAL
1949,DATE,CARDINAL
"560,000,00",CARDINAL,DECIMAL
1915,CARDINAL,DATE
-424CYP,MEASURE,MONEY
88,CARDINAL,DIGIT
9,CARDINAL,DIGIT
1975,DATE,DIGIT
3,CARDINAL,DIGIT
4,CARDINAL,DIGIT
1,CARDINAL,DIGIT
sr,PLAIN,LETTERS
I.,LETTERS,ORDINAL
2009,DATE,DIGIT
307,CARDINAL,DIGIT
13-13-13,DATE,TELEPHONE
2008,CARDINAL,DATE
tpd,LETTERS,VERBATIM
III,CARDINAL,ORDINAL
1988,DATE,DIGIT
1839,DATE,DIGIT
4,CARDINAL,DECIMAL
II,ORDINAL,CARDINAL
1943,CARDINAL,DATE
2005,DATE,CARDINAL
20,CARDINAL,DIGIT
3,CARDINAL,DIGIT
1993,DATE,CARDINAL
5,CARDINAL,DIGIT
5,CARDINAL,DIGIT
1941,DATE,CARDINAL
gE,VERBATIM,LETTERS
2000,DATE,CARDINAL
VI,CARDINAL,ORDINAL
7930,CARDINAL,DIGIT
2014,CARDINAL,DATE
2,CARDINAL,DIGIT
1952,DATE,CARDINAL
2866,CARDINAL,DIGIT
22424,CARDINAL,DIGIT
2011,DATE,CARDINAL
2002,DATE,CARDINAL
1958,DATE,CARDINAL
VIII,CARDINAL,ORDINAL
II,CARDINAL,ORDINAL
3,CARDINAL,DIGIT
1942,DATE,DIGIT
1927,DATE,CARDINAL
2013,DATE,CARDINAL
38,CARDINAL,DIGIT
1,CARDINAL,DIGIT
2014,DATE,DIGIT
II,CARDINAL,ORDINAL
2014,DATE,CARDINAL
CYP7B,LETTERS,MONEY
III,CARDINAL,ORDINAL
sw,LETTERS,VERBATIM
39697,DIGIT,CARDINAL
2015,DATE,CARDINAL
899,CARDINAL,DIGIT
cc,VERBATIM,LETTERS
2011,CARDINAL,DATE
8,CARDINAL,DIGIT
179,CARDINAL,DIGIT
2004,DATE,CARDINAL
II,CARDINAL,ORDINAL
I,CARDINAL,ORDINAL
1.3 millio,DECIMAL,MONEY
2007,DATE,CARDINAL
15,CARDINAL,DIGIT
2013,DATE,DIGIT
2013,DATE,CARDINAL
1,CARDINAL,DIGIT
18037,DIGIT,CARDINAL
1959,DATE,CARDINAL
1851,DATE,DIGIT
2011,DATE,CARDINAL
XVII,CARDINAL,ORDINAL
II,ORDINAL,CARDINAL
1,CARDINAL,DIGIT
4,CARDINAL,DIGIT
1963,DATE,CARDINAL
mc,LETTERS,VERBATIM
60TH,MEASURE,ORDINAL
I.,LETTERS,ORDINAL
20078,DIGIT,CARDINAL
2008,CARDINAL,DATE
48,CARDINAL,DIGIT
MD,LETTERS,ORDINAL
9,CARDINAL,DIGIT
1940,DATE,CARDINAL
1998,DATE,DIGIT
1-,DIGIT,CARDINAL
01,CARDINAL,DIGIT
2005,DATE,DIGIT
IV,LETTERS,ORDINAL
855,CARDINAL,DIGIT
VIII,CARDINAL,ORDINAL
68,CARDINAL,DIGIT
12,CARDINAL,DIGIT
XI,CARDINAL,ORDINAL
II,CARDINAL,ORDINAL
XII,CARDINAL,ORDINAL
1770,DATE,DIGIT
206,CARDINAL,DECIMAL
1972,DATE,CARDINAL
9- 4 17,DATE,TELEPHONE
IV,LETTERS,ORDINAL
I,CARDINAL,ORDINAL
1929,DATE,CARDINAL
9013,CARDINAL,DIGIT
IV,ORDINAL,LETTERS
2010,DATE,DIGIT
1 trillion,MONEY,DECIMAL
II,ORDINAL,CARDINAL
2009,DATE,CARDINAL
2006,DATE,CARDINAL
2000,DATE,CARDINAL
1993,DATE,DIGIT
1,CARDINAL,DIGIT
db,VERBATIM,LETTERS
5,CARDINAL,DIGIT
00,DIGIT,CARDINAL
2009,DATE,CARDINAL
V.,ORDINAL,LETTERS
1915,DATE,CARDINAL
0,CARDINAL,DIGIT
2015,DATE,CARDINAL
VII,CARDINAL,ORDINAL
384,CARDINAL,DIGIT
341875,CARDINAL,DIGIT
cc,VERBATIM,LETTERS
5241966,CARDINAL,DIGIT
1876,DATE,DIGIT
II,CARDINAL,ORDINAL
4,CARDINAL,DIGIT
2009,DATE,CARDINAL
2011,DATE,DIGIT
2010,DATE,CARDINAL
Synaptotag,ELECTRONIC,LETTERS
15,CARDINAL,DIGIT
7,CARDINAL,DIGIT
1095,DATE,DIGIT
TXNSPORTS.,LETTERS,ELECTRONIC
1903,DATE,CARDINAL
2004,CARDINAL,DATE
br,LETTERS,PLAIN
1932,DATE,CARDINAL
1920,DATE,CARDINAL
1914,DATE,CARDINAL
II,CARDINAL,ORDINAL
II,CARDINAL,ORDINAL
MON,LETTERS,PLAIN
2010,CARDINAL,DATE
2008,DATE,CARDINAL
2,CARDINAL,DIGIT
0,CARDINAL,DIGIT
1911,DATE,DIGIT
13,CARDINAL,DIGIT
2014,CARDINAL,DATE
1926,CARDINAL,DATE
sql,VERBATIM,LETTERS
45,CARDINAL,DIGIT
I,CARDINAL,ORDINAL
2014,CARDINAL,DATE
XLVII,CARDINAL,LETTERS
X,ORDINAL,CARDINAL
1988,DATE,CARDINAL
5970,CARDINAL,DIGIT
II,ORDINAL,CARDINAL
2000,DATE,CARDINAL
br,PLAIN,LETTERS
10,CARDINAL,DIGIT
0537461,TELEPHONE,DIGIT
229,CARDINAL,DECIMAL
2005,DATE,CARDINAL
1996,DATE,CARDINAL
1939,DATE,CARDINAL
MT,PLAIN,LETTERS
VII,ORDINAL,CARDINAL
XIII,ORDINAL,CARDINAL
2013,DATE,CARDINAL
2,CARDINAL,DIGIT
2004,DATE,DIGIT
I.,LETTERS,ORDINAL
1997,DATE,CARDINAL
1710,DATE,DIGIT
2010,CARDINAL,DATE
3,CARDINAL,DIGIT
III,ORDINAL,CARDINAL
25,CARDINAL,DIGIT
185152 706,CARDINAL,TELEPHONE
III,CARDINAL,ORDINAL
km,VERBATIM,LETTERS
435,CARDINAL,DIGIT
II,CARDINAL,ORDINAL
11-25-00,TELEPHONE,DATE
741,CARDINAL,DECIMAL
VII,ORDINAL,CARDINAL
V,ORDINAL,CARDINAL
1934,DATE,CARDINAL
VIII,CARDINAL,ORDINAL
1953,DATE,CARDINAL
1978,DATE,DIGIT
2009,CARDINAL,DATE
2006,DATE,CARDINAL
IV,ORDINAL,LETTERS
dwm,LETTERS,VERBATIM
2011,DATE,CARDINAL
nk,LETTERS,VERBATIM
fm,VERBATIM,LETTERS
III,CARDINAL,ORDINAL
2000,CARDINAL,DATE
II,ORDINAL,CARDINAL
3,CARDINAL,DIGIT
2014,DATE,CARDINAL
III,ORDINAL,CARDINAL
I,ORDINAL,CARDINAL
2006,DATE,CARDINAL
II,CARDINAL,ORDINAL
III,CARDINAL,ORDINAL
dsl,VERBATIM,LETTERS
17932,CARDINAL,DIGIT
0471800201,TELEPHONE,DIGIT
2009,DATE,DIGIT
2001,DATE,DIGIT
2007,DATE,DIGIT
2010,DATE,CARDINAL
1995,DATE,CARDINAL
1936,DATE,CARDINAL
2011,DATE,CARDINAL
VOL,LETTERS,PLAIN
2009,DATE,CARDINAL
wz,LETTERS,VERBATIM
V.,ORDINAL,LETTERS
2011,DATE,CARDINAL
nd,LETTERS,VERBATIM
2011,DATE,CARDINAL
2002,DATE,CARDINAL
9713,CARDINAL,DIGIT
2013,DATE,CARDINAL
1999,DATE,DIGIT
V,CARDINAL,ORDINAL
2007,CARDINAL,DATE
6600,CARDINAL,DIGIT
1300,DATE,DIGIT
200,CARDINAL,DIGIT
stD,LETTERS,VERBATIM
1000,DATE,CARDINAL
2,CARDINAL,DIGIT
nb,LETTERS,VERBATIM
1,CARDINAL,DIGIT
104,CARDINAL,DIGIT
2013,CARDINAL,DATE
2,CARDINAL,DIGIT
2006,DATE,CARDINAL
2014,DATE,CARDINAL
I,ORDINAL,CARDINAL
2009,DATE,CARDINAL
VIII,ORDINAL,CARDINAL
I.,LETTERS,ORDINAL
2,CARDINAL,DIGIT
bf,VERBATIM,LETTERS
2001,DATE,DIGIT
2000,DATE,CARDINAL
2009,DATE,CARDINAL
2010,DATE,CARDINAL
2010,DATE,DIGIT
3,CARDINAL,DIGIT
III,ORDINAL,CARDINAL
1550,DATE,DIGIT
2008,DATE,DIGIT
3,CARDINAL,DIGIT
700,DIGIT,CARDINAL
I,CARDINAL,ORDINAL
II,ORDINAL,CARDINAL
1997,DATE,DIGIT
XXII,ORDINAL,CARDINAL
"170,123,74",CARDINAL,DECIMAL
100 ft/min,DECIMAL,MEASURE
53,CARDINAL,DIGIT
1937,DATE,CARDINAL
2013,DATE,CARDINAL
24325,CARDINAL,DIGIT
II,CARDINAL,ORDINAL
XX,LETTERS,ORDINAL
1,CARDINAL,DIGIT
2010,DATE,CARDINAL
1,CARDINAL,DIGIT
2014,DATE,CARDINAL
gt,VERBATIM,LETTERS
2014,DATE,CARDINAL
2008,CARDINAL,DATE
mr,PLAIN,LETTERS
05079,TELEPHONE,DIGIT
II,CARDINAL,ORDINAL
II,CARDINAL,ORDINAL
2004,CARDINAL,DATE
3,CARDINAL,DIGIT
pdf,VERBATIM,LETTERS
I,CARDINAL,ORDINAL
2010,DATE,DIGIT
2,CARDINAL,DIGIT
2011,DATE,CARDINAL
3,DIGIT,CARDINAL
1,CARDINAL,DIGIT
DC::,LETTERS,ELECTRONIC
328,CARDINAL,DIGIT
2.4 millio,DECIMAL,MONEY
212,CARDINAL,DECIMAL
4,CARDINAL,DIGIT
4,CARDINAL,DIGIT
