data,predict,target
p,PLAIN,LETTERS
BIG,LETTERS,PLAIN
eVUTM,PLAIN,LETTERS
BeO,PLAIN,LETTERS
TEKAN,PLAIN,LETTERS
Kom,PLAIN,LETTERS
AGPIIIt,PLAIN,LETTERS
21104,DIGIT,CARDINAL
Radd,PLAIN,LETTERS
w,LETTERS,PLAIN
DOCH,PLAIN,LETTERS
EEG,LETTERS,PLAIN
N,LETTERS,PLAIN
Ve,PLAIN,LETTERS
PICUS,LETTERS,PLAIN
WRAP,LETTERS,PLAIN
ARSO,PLAIN,LETTERS
JEA,PLAIN,LETTERS
neé,PLAIN,LETTERS
Isen,PLAIN,LETTERS
Lah,PLAIN,LETTERS
OAM,PLAIN,LETTERS
XV,LETTERS,CARDINAL
5,DIGIT,CARDINAL
STUFF,LETTERS,PLAIN
peu,PLAIN,LETTERS
-,PLAIN,VERBATIM
Lih,PLAIN,LETTERS
031106280226,TELEPHONE,DIGIT
Det,PLAIN,LETTERS
D,LETTERS,PLAIN
L,LETTERS,PLAIN
km,LETTERS,VERBATIM
Aza,LETTERS,PLAIN
Tok,PLAIN,LETTERS
NU's,LETTERS,PLAIN
"14,662.9",CARDINAL,DECIMAL
NiP,LETTERS,PLAIN
MOS,PLAIN,LETTERS
Uta,PLAIN,LETTERS
Xop,PLAIN,LETTERS
AHIGS,PLAIN,LETTERS
Kuol,PLAIN,LETTERS
CRISPR,PLAIN,LETTERS
MULUNG,PLAIN,LETTERS
2013,DATE,CARDINAL
als,PLAIN,LETTERS
ACU,PLAIN,LETTERS
999,CARDINAL,TELEPHONE
Yok,PLAIN,LETTERS
1,CARDINAL,DIGIT
jn,PLAIN,LETTERS
-,PLAIN,VERBATIM
APSE,LETTERS,PLAIN
Dirs,PLAIN,LETTERS
Kuhnl,PLAIN,LETTERS
h,PLAIN,LETTERS
II,CARDINAL,ORDINAL
hwan,PLAIN,LETTERS
EDEN,LETTERS,PLAIN
SOB,LETTERS,PLAIN
A,LETTERS,PLAIN
z,LETTERS,PLAIN
UT,LETTERS,PLAIN
III's,ORDINAL,LETTERS
UNESDOC,PLAIN,LETTERS
ol,PLAIN,LETTERS
SILENCIOSO,PLAIN,LETTERS
2007,DATE,CARDINAL
Aci,PLAIN,LETTERS
Liiga,PLAIN,LETTERS
ieri,PLAIN,LETTERS
-,PLAIN,VERBATIM
KAMUAR,PLAIN,LETTERS
igra,LETTERS,PLAIN
Rin,PLAIN,LETTERS
2015,DATE,DIGIT
hoofd,PLAIN,LETTERS
aici,PLAIN,LETTERS
IX,PLAIN,ORDINAL
HE,LETTERS,PLAIN
Kom,PLAIN,LETTERS
MI,PLAIN,LETTERS
2006,DATE,CARDINAL
MOE's,LETTERS,PLAIN
BAZ,LETTERS,PLAIN
c,LETTERS,PLAIN
23ML,CARDINAL,MEASURE
Nimr,PLAIN,LETTERS
MUNTING,PLAIN,LETTERS
QUANJIAN,PLAIN,LETTERS
MT,LETTERS,PLAIN
2011,DATE,DIGIT
Enes,PLAIN,LETTERS
-,VERBATIM,PLAIN
g,PLAIN,LETTERS
WO,LETTERS,PLAIN
Riml,PLAIN,LETTERS
4,DIGIT,CARDINAL
1918,DATE,CARDINAL
00-1,DIGIT,TELEPHONE
Akwa,LETTERS,PLAIN
FEALAC,PLAIN,LETTERS
v,PLAIN,LETTERS
geki,PLAIN,LETTERS
X,PLAIN,CARDINAL
209Th,MEASURE,ORDINAL
hvad,PLAIN,LETTERS
10.00am,MEASURE,TIME
2010,DATE,DIGIT
SIPs,LETTERS,PLAIN
2008,CARDINAL,DATE
Kfirs,PLAIN,LETTERS
SA's,LETTERS,PLAIN
EO,PLAIN,LETTERS
Ruy,PLAIN,LETTERS
X,PLAIN,ORDINAL
1969,DATE,CARDINAL
REBRs,PLAIN,LETTERS
MU,PLAIN,LETTERS
AVRO,LETTERS,PLAIN
DAB,PLAIN,LETTERS
1996,DATE,CARDINAL
Diacu,PLAIN,LETTERS
xxb,LETTERS,VERBATIM
EDAR,PLAIN,LETTERS
RAPD,PLAIN,LETTERS
STIS,PLAIN,LETTERS
GOL,PLAIN,LETTERS
WOLKOWYSKA,PLAIN,LETTERS
Smer,PLAIN,LETTERS
soi,PLAIN,LETTERS
970,CARDINAL,DIGIT
1913,DIGIT,DATE
DIALOG,LETTERS,PLAIN
Sabr,PLAIN,LETTERS
8,CARDINAL,DECIMAL
Mih,PLAIN,LETTERS
Hjalm,PLAIN,LETTERS
UQ,PLAIN,LETTERS
p,PLAIN,LETTERS
Zus,PLAIN,LETTERS
MEU,PLAIN,LETTERS
sm,LETTERS,PLAIN
KLUB,LETTERS,PLAIN
Rmxs,PLAIN,VERBATIM
nw,PLAIN,LETTERS
ASQ,PLAIN,LETTERS
OJ,PLAIN,LETTERS
1775,DATE,CARDINAL
kak,PLAIN,LETTERS
U'Ren,LETTERS,PLAIN
yne,PLAIN,LETTERS
plts,PLAIN,VERBATIM
Fai,PLAIN,LETTERS
Asindhttp,PLAIN,LETTERS
12345,DIGIT,CARDINAL
Amli,PLAIN,LETTERS
I,PLAIN,ORDINAL
Raq,PLAIN,LETTERS
FDIC,LETTERS,PLAIN
ERJ,PLAIN,LETTERS
A,LETTERS,PLAIN
Oper,PLAIN,LETTERS
Isia,PLAIN,LETTERS
I,PLAIN,ORDINAL
800 million yrs,MONEY,MEASURE
Os,PLAIN,LETTERS
Secu,PLAIN,LETTERS
Ahe's,PLAIN,LETTERS
1444,DATE,DIGIT
ASKO,LETTERS,PLAIN
x,PLAIN,LETTERS
DOMREP,PLAIN,LETTERS
Norrissports-reference.com,PLAIN,ELECTRONIC
1910,CARDINAL,DATE
v,PLAIN,LETTERS
p,LETTERS,PLAIN
1,DIGIT,CARDINAL
LABAs,LETTERS,PLAIN
2290,CARDINAL,DIGIT
Iste,PLAIN,LETTERS
1991,DATE,CARDINAL
ENGLISH,LETTERS,PLAIN
quicc,PLAIN,LETTERS
101 ,CARDINAL,DIGIT
Cadw,PLAIN,LETTERS
1,CARDINAL,DIGIT
NICAD,LETTERS,PLAIN
UPS,PLAIN,LETTERS
1999,CARDINAL,DATE
Oudh,PLAIN,LETTERS
10,CARDINAL,DIGIT
6,DIGIT,CARDINAL
Mswt,LETTERS,VERBATIM
Beitr,PLAIN,LETTERS
TEU,PLAIN,LETTERS
Kteh,PLAIN,LETTERS
EOL,PLAIN,LETTERS
Svi,PLAIN,LETTERS
2013,CARDINAL,DATE
SOS,PLAIN,LETTERS
Lae,PLAIN,LETTERS
Coe's,PLAIN,LETTERS
LIP,PLAIN,LETTERS
ING,LETTERS,PLAIN
ESSJa,LETTERS,PLAIN
Dubh,PLAIN,LETTERS
APR,LETTERS,PLAIN
UNAVEM,PLAIN,LETTERS
PLA,LETTERS,PLAIN
1996,DATE,CARDINAL
p,PLAIN,LETTERS
RESULTIN,PLAIN,LETTERS
UCAM,LETTERS,PLAIN
Kayu,PLAIN,LETTERS
GREAT,LETTERS,PLAIN
cdf,VERBATIM,LETTERS
Oyj,PLAIN,LETTERS
DJERZELEZ,PLAIN,LETTERS
HASDER,PLAIN,LETTERS
Fu'ad,PLAIN,LETTERS
GER,PLAIN,LETTERS
p,PLAIN,LETTERS
SEMTA,PLAIN,LETTERS
VISTA,LETTERS,PLAIN
L,LETTERS,PLAIN
w,LETTERS,PLAIN
1990,DATE,CARDINAL
2011,CARDINAL,DATE
1999,DATE,CARDINAL
1999,DATE,CARDINAL
1,CARDINAL,DIGIT
SPIN,LETTERS,PLAIN
1941,DATE,CARDINAL
Thos,PLAIN,LETTERS
I,PLAIN,CARDINAL
Ans,PLAIN,LETTERS
Uniao,PLAIN,LETTERS
123,CARDINAL,DECIMAL
999,CARDINAL,TELEPHONE
reu,PLAIN,LETTERS
Asao,PLAIN,LETTERS
ZE,LETTERS,PLAIN
WeltN,PLAIN,LETTERS
-,PUNCT,PLAIN
KIYOKAWA,PLAIN,LETTERS
Aj,PLAIN,LETTERS
Nis,PLAIN,LETTERS
Fyn,PLAIN,LETTERS
-,PUNCT,PLAIN
1947,DATE,CARDINAL
2012,DATE,DIGIT
52037.692,ELECTRONIC,DECIMAL
apos,PLAIN,LETTERS
R,LETTERS,PLAIN
Smad,PLAIN,LETTERS
Pe'er,LETTERS,PLAIN
OAM,PLAIN,LETTERS
1975,CARDINAL,DATE
SYROBONKERS,PLAIN,LETTERS
Ovre,PLAIN,LETTERS
als,PLAIN,LETTERS
lbw,PLAIN,VERBATIM
Toh,PLAIN,LETTERS
Y'tll,PLAIN,LETTERS
TAFEs,PLAIN,LETTERS
dj,PLAIN,LETTERS
ROF,PLAIN,LETTERS
Huo,PLAIN,LETTERS
bij,PLAIN,LETTERS
dc,LETTERS,VERBATIM
Heos,PLAIN,LETTERS
Koe,PLAIN,LETTERS
ANCE,LETTERS,PLAIN
v,PLAIN,LETTERS
viii,PLAIN,LETTERS
Wol,PLAIN,LETTERS
OL,PLAIN,LETTERS
MTN,LETTERS,PLAIN
g,PLAIN,LETTERS
GEOM,PLAIN,LETTERS
Narcz,PLAIN,LETTERS
Lemn,PLAIN,LETTERS
5,CARDINAL,DIGIT
DMnn,PLAIN,VERBATIM
Ilm,PLAIN,LETTERS
lnot,PLAIN,LETTERS
.5-3754,TELEPHONE,VERBATIM
84,CARDINAL,DIGIT
V,PLAIN,ORDINAL
Cwiok,PLAIN,LETTERS
Uku,LETTERS,PLAIN
SAEs,PLAIN,LETTERS
FREBAULT,PLAIN,LETTERS
N,LETTERS,PLAIN
tr,PLAIN,LETTERS
42,CARDINAL,DIGIT
LULAC,LETTERS,PLAIN
5,DIGIT,CARDINAL
EST,LETTERS,PLAIN
NITRO,LETTERS,PLAIN
LAD,PLAIN,LETTERS
SOX,PLAIN,LETTERS
v,LETTERS,PLAIN
ITA,LETTERS,PLAIN
APP,LETTERS,PLAIN
3,CARDINAL,DIGIT
8,CARDINAL,DIGIT
Liias,PLAIN,LETTERS
OHR,LETTERS,PLAIN
B,LETTERS,PLAIN
Eotvos,PLAIN,LETTERS
2008,DATE,CARDINAL
Ktav,PLAIN,LETTERS
AIME,LETTERS,PLAIN
EBSCO,LETTERS,PLAIN
60 yen,MEASURE,MONEY
hs,PLAIN,LETTERS
Sno,PLAIN,LETTERS
vBA,VERBATIM,LETTERS
Kiur,PLAIN,LETTERS
sl,PLAIN,VERBATIM
teh,PLAIN,LETTERS
1918,CARDINAL,DATE
Bew,PLAIN,LETTERS
I,CARDINAL,PLAIN
I'm,LETTERS,PLAIN
Vict,PLAIN,LETTERS
RM,LETTERS,PLAIN
Iru,PLAIN,LETTERS
guinnessworldrecords.comGuinness,PLAIN,ELECTRONIC
Ibsa,PLAIN,LETTERS
2003,DATE,CARDINAL
2009,CARDINAL,DATE
br,PLAIN,LETTERS
DILG,LETTERS,PLAIN
OsZIP,LETTERS,PLAIN
1,DIGIT,CARDINAL
TIR,PLAIN,LETTERS
sucD,PLAIN,LETTERS
-,PLAIN,VERBATIM
1861,DATE,CARDINAL
A,LETTERS,PLAIN
2015,CARDINAL,DATE
2009,DATE,CARDINAL
Tadg,PLAIN,LETTERS
SMACS,PLAIN,LETTERS
OHL,LETTERS,PLAIN
APPIC,LETTERS,PLAIN
CaII,LETTERS,PLAIN
vom,PLAIN,LETTERS
219 ,CARDINAL,DIGIT
deg,PLAIN,LETTERS
1975,DIGIT,CARDINAL
OOPSLA,PLAIN,LETTERS
T,LETTERS,PLAIN
NUMSA,PLAIN,LETTERS
vlg,PLAIN,VERBATIM
Srpski,PLAIN,LETTERS
THOG,PLAIN,LETTERS
4MN,TIME,MEASURE
CEQUIN,PLAIN,LETTERS
a,LETTERS,PLAIN
bcg,PLAIN,LETTERS
dy,PLAIN,LETTERS
MOELCI,PLAIN,LETTERS
3,DIGIT,CARDINAL
Ssu,PLAIN,LETTERS
2001,CARDINAL,DATE
1,DIGIT,CARDINAL
wrc,LETTERS,VERBATIM
Io,PLAIN,LETTERS
viaq,PLAIN,LETTERS
Nur,PLAIN,LETTERS
Rgt,PLAIN,VERBATIM
29,DIGIT,CARDINAL
eins,PLAIN,LETTERS
05,CARDINAL,DIGIT
SOFTEC,LETTERS,PLAIN
PL,LETTERS,PLAIN
ISKCON,LETTERS,PLAIN
SEOUL,PLAIN,LETTERS
maa,PLAIN,LETTERS
2,CARDINAL,DIGIT
H,LETTERS,PLAIN
ANT,LETTERS,PLAIN
Qu,PLAIN,LETTERS
TAFSSP,PLAIN,LETTERS
2,CARDINAL,DIGIT
IV,LETTERS,CARDINAL
1993,CARDINAL,DATE
2012,DATE,CARDINAL
ISSI,LETTERS,PLAIN
2000,DATE,CARDINAL
a,PLAIN,LETTERS
Née,LETTERS,PLAIN
CRISP,LETTERS,PLAIN
Cu,PLAIN,LETTERS
Abad,LETTERS,PLAIN
Dvl,PLAIN,VERBATIM
Kabr,PLAIN,LETTERS
Nabao,PLAIN,LETTERS
PRO,LETTERS,PLAIN
EMBRAPA,PLAIN,LETTERS
Eins,PLAIN,LETTERS
Reestr,PLAIN,LETTERS
KAKT,PLAIN,LETTERS
241,CARDINAL,DIGIT
lbf,LETTERS,VERBATIM
2013,DATE,CARDINAL
RACAR,PLAIN,LETTERS
Aayat,PLAIN,LETTERS
M,LETTERS,PLAIN
TRACS,PLAIN,LETTERS
II's,LETTERS,ORDINAL
x,PLAIN,LETTERS
APSA,LETTERS,PLAIN
UKIRA,PLAIN,LETTERS
K,LETTERS,PLAIN
Michx,PLAIN,LETTERS
OPALS,LETTERS,PLAIN
x,LETTERS,PLAIN
xo,PLAIN,LETTERS
Mro,PLAIN,LETTERS
SAMPEX,PLAIN,LETTERS
FEMM,PLAIN,LETTERS
fase,PLAIN,LETTERS
MemSQL,PLAIN,LETTERS
2007,CARDINAL,DATE
429,CARDINAL,DECIMAL
ASAE,PLAIN,LETTERS
EKOS,LETTERS,PLAIN
Bei,PLAIN,LETTERS
1919,CARDINAL,DATE
1000,DATE,DIGIT
RAFGSA,PLAIN,LETTERS
VI,PLAIN,CARDINAL
LAMDA,LETTERS,PLAIN
2011,DATE,DIGIT
mcen,PLAIN,LETTERS
2011,DATE,CARDINAL
BASCO,LETTERS,PLAIN
c,LETTERS,PLAIN
59,CARDINAL,DIGIT
1055,DATE,CARDINAL
MUBi,LETTERS,PLAIN
wOBA,LETTERS,PLAIN
2010,DATE,DIGIT
SES,PLAIN,LETTERS
INCA,LETTERS,PLAIN
Beszéd,PLAIN,LETTERS
Dvor,PLAIN,LETTERS
GROND,PLAIN,LETTERS
L,LETTERS,PLAIN
Osro,PLAIN,LETTERS
légua,LETTERS,PLAIN
Mnie,PLAIN,LETTERS
CODOG,PLAIN,LETTERS
Dodt,PLAIN,LETTERS
X,PLAIN,CARDINAL
ORS,LETTERS,PLAIN
EFIKA,LETTERS,PLAIN
Sek,PLAIN,LETTERS
NaSTA,LETTERS,PLAIN
MOHAMMED,LETTERS,PLAIN
II,CARDINAL,PLAIN
e,LETTERS,PLAIN
Frhr,PLAIN,VERBATIM
Lwow,PLAIN,LETTERS
hHR,LETTERS,VERBATIM
Geok,PLAIN,LETTERS
l'un,LETTERS,PLAIN
DE,PLAIN,LETTERS
SES,PLAIN,LETTERS
Oti,PLAIN,LETTERS
Paea,PLAIN,LETTERS
1965,DATE,DIGIT
3,CARDINAL,DECIMAL
MT,LETTERS,PLAIN
gOS,LETTERS,PLAIN
